ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_pais,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,investigacao_status,total_aeronaves_envolvidas,ocorrencia_saida_pista,aeronave_matricula,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total,ocorrencia_tipo,ocorrencia_tipo_categoria,taxonomia_tipo_icao,fator_nome,fator_aspecto,fator_condicionante,fator_area,recomendacao_conteudo,recomendacao_status,recomendacao_destinatario_sigla,recomendacao_destinatario
ACIDENTE,LONDRINA,PR,BRASIL,SBLO,08/01/2014,19:48:00,FINALIZADA,1,SIM,PPGMA,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,770,770,2.0,1992.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,GOVERNADOR JOSÉ RICHA,GOVERNADOR JOSÉ RICHA,CORRIDA APÓS POUSO,INSTRUÇÃO,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,POUCA EXPERIÊNCIA DO PILOTO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,,,,
ACIDENTE,BRASNORTE,MT,BRASIL,***,08/01/2015,20:30:00,FINALIZADA,1,NÃO,PTGOJ,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1976.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,,,,,,,,
INCIDENTE,BELO HORIZONTE,MG,BRASIL,SBBH,08/01/2015,21:13:00,FINALIZADA,1,NÃO,PTFTC,AVIÃO,CESSNA AIRCRAFT,525A,C25A,JATO,BIMOTOR,5613,5613,9.0,2001.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,MACAÉ,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,APROXIMAÇÃO FINAL,PRIVADA,LEVE,0,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,,,,,,,,
ACIDENTE,IGARAPAVA,SP,BRASIL,***,08/01/2016,20:50:00,FINALIZADA,1,NÃO,PTVVU,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2012.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FAZENDA SÃO SEBASTIÃO,FAZENDA SÃO SEBASTIÃO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,,,,,,,,
INCIDENTE GRAVE,BELO HORIZONTE,MG,BRASIL,SBBH,08/01/2016,17:15:00,,1,NÃO,PUEFP,ULTRALEVE,AEROBRAVO LTDA,AMAZON,ULAC,PISTÃO,MONOMOTOR,600,600,2.0,2016.0,BRASIL,BRASIL,ULTRALEVE,EXPERIMENTAL,CARLOS PRATES,CARLOS PRATES,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,,,,,,,,
ACIDENTE,RONDONÓPOLIS,MT,BRASIL,SWRD,08/01/2016,02:15:00,FINALIZADA,1,NÃO,PRPDD,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,22000,22000,73.0,1998.0,BRASIL,BRASIL,AVIÃO,REGULAR,PRESIDENTE JUSCELINO KUBITSCHEK,RONDONÓPOLIS,POUSO,REGULAR,SUBSTANCIAL,0,POUSO ANTES DA PISTA,POUSO AQUÉM/ALÉM DA PISTA | POUSO ANTES DA PISTA,USOS,SISTEMAS DE APOIO,ASPECTO PSICOLÓGICO,ORGANIZACIONAL,FATOR HUMANO,"Avaliar a possibilidade de reforçar a obrigatoriedade no repasse das informações meteorológicas atualizadas pelo OEA, conforme previsto nas publicações normativas desse órgão (MCA 100-16), às aeronaves em voo que estejam decolando ou pousando em localidades desprovidas de órgãos de controle ATS.",ADOTADA,DECEA,DEPARTAMENTO DE CONTROLE DE ESPAÇO AÉREO
ACIDENTE,ITAQUI,RS,BRASIL,***,08/01/2016,10:30:00,FINALIZADA,1,SIM,PTUQJ,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2004.0,BRASIL,BRASIL,AVIÃO,MÚLTIPLA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,,,,,,,,
INCIDENTE GRAVE,ATIBAIA,SP,BRASIL,SDTB,08/01/2019,12:35:00,FINALIZADA,1,SIM,PTNUU,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,P28A,PISTÃO,MONOMOTOR,1157,1157,4.0,1980.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,ATIBAIA,ATIBAIA,CORRIDA APÓS POUSO,INSTRUÇÃO,LEVE,0,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,,,,,,,,
ACIDENTE,ARROIO GRANDE,RS,BRASIL,***,08/01/2019,17:00:00,FINALIZADA,1,SIM,PTOXK,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1905,1905,1.0,1977.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,RE,PLANEJAMENTO DE VOO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,"ATUAR JUNTO à AEROAGRíCOLA SUREñA LTDA., A FIM DE QUE AQUELE OPERADOR OFEREçA A SEUS PILOTOS UM ADEQUADO TREINAMENTO DE OPERAçõES AEROAGRíCOLAS, SOBRETUDO NO QUE DIZ RESPEITO AO CORRETO PLANEJAMENTO DE VOO E àS TéCNICAS DE PILOTAGEM NECESSáRIAS AO DESEMPENHO SEGURO DAS ATIVIDADES PROPOSTAS.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
INCIDENTE,ITUMBIARA,GO,BRASIL,***,08/01/2019,19:00:00,FINALIZADA,1,SIM,PTUEW,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1989.0,BRASIL,BRASIL,AVIÃO,ESPECIALIZADA,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,AGRÍCOLA,LEVE,0,OUTROS,OUTROS,OTHR,,,,,,,,
INCIDENTE,CAMPINAS,SP,BRASIL,SBKP,08/01/2020,13:30:00,FINALIZADA,1,NÃO,PRAQB,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,23000,73.0,2012.0,BRASIL,BRASIL,AVIÃO,REGULAR,VIRACOPOS,PRESIDENTE PRUDENTE,SUBIDA,REGULAR,NENHUM,0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,,,,,,,,
INCIDENTE,CAMPO GRANDE,MS,BRASIL,SBCG,08/01/2021,13:12:00,FINALIZADA,1,NÃO,PSAED,AVIÃO,YABORA INDUSTRIA AERONAUTICA S.A,ERJ 190-400,E295,JATO,BIMOTOR,61500,61500,0.0,2020.0,BRASIL,BRASIL,AVIÃO,REGULAR,VIRACOPOS,CAMPO GRANDE,POUSO,REGULAR,NENHUM,0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,,,,,,,,
INCIDENTE,BELO HORIZONTE,MG,BRASIL,SBBH,08/01/2021,14:05:00,FINALIZADA,1,NÃO,PRCRJ,AVIÃO,PIPER AIRCRAFT,PA-34-220T,PA34,PISTÃO,BIMOTOR,2155,2155,6.0,2011.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,BRIGADEIRO CABRAL,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,APROXIMAÇÃO FINAL,PRIVADA,NENHUM,0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,,,,,,,,
ACIDENTE,NOVA UBIRATÃ,MT,BRASIL,***,08/01/2022,12:30:00,ATIVA,1,NÃO,PTUKZ,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1998.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,NÃO IDENTIFICADO,NÃO IDENTIFICADO,MANOBRA,AGRÍCOLA,SUBSTANCIAL,1,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,,,,,,,,
INCIDENTE,SÃO PAULO,SP,BRASIL,SBSP,08/01/2023,09:15:00,FINALIZADA,1,NÃO,PRGGK,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,70533,70533,197.0,2008.0,BRASIL,BRASIL,AVIÃO,REGULAR,SANTA MARIA,CONGONHAS,APROXIMAÇÃO FINAL,REGULAR,NENHUM,0,COM COMANDOS DE VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM COMANDOS DE VOO,SCF-NP,,,,,,,,
INCIDENTE,BELO HORIZONTE,MG,BRASIL,SBBH,08/01/2023,15:43:00,FINALIZADA,1,NÃO,PSCRA,AVIÃO,CIRRUS DESIGN,SR22,SR22,,MONOMOTOR,1542,1542,0.0,0.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,OUTEIRO DAS BRISAS,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,CORRIDA APÓS POUSO,PRIVADA,NENHUM,0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,,,,,,,,
INCIDENTE,MANAUS,AM,BRASIL,SBEG,08/02/2007,00:00:00,,1,NÃO,N537MC,AVIÃO,BOEING COMPANY,B747 N,***,***,SEM TRAÇÃO,0,0,0.0,0.0,ESTADOS UNIDOS,ESTADOS UNIDOS,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,OUTRA FASE,REGULAR,***,0,ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO,SCF-NP,,,,,,,,
ACIDENTE,ANAJÁS,PA,BRASIL,***,08/02/2007,12:25:00,FINALIZADA,1,NÃO,PTEXU,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-721C,P32R,PISTÃO,MONOMOTOR,1633,1633,7.0,1979.0,BRASIL,BRASIL,AVIÃO,TÁXI AÉREO,BELÉM/BRIGADEIRO PROTÁSIO DE OLIVEIRA,MARBORGES,CRUZEIRO,TÁXI AÉREO,DESTRUÍDA,0,COM HÉLICE,FALHA OU MAU FUNCIONAMENTO DO MOTOR | COM HÉLICE,SCF-PP,SUPERVISÃO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,"Orientar os pilotos da empresa para o preenchimento antecipado do plano de vôo em localidade que possua sala AIS, sempre que houver conhecimento prévio das etapas seguintes, quando as mesmas envolverem decolagem de aeródromo desprovido de sala AIS.",***,STILUS,STILUS TÁXI AÉREO LTDA
INCIDENTE,MANAUS,AM,BRASIL,SBEG,08/02/2007,20:00:00,,1,NÃO,PRRLB,AVIÃO,BOEING COMPANY,737-3Q8,B733,JATO,BIMOTOR,61234,61234,150.0,1987.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,NENHUM,0,ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ALARME FALSO DE FOGO OU DE SUPERAQUECIMENTO,SCF-NP,,,,,,,,
INCIDENTE,SÃO GABRIEL,RS,BRASIL,SSSG,08/02/2008,11:50:00,,1,NÃO,PTWCJ,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1497,1497,1.0,1976.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,AGRÍCOLA,NENHUM,0,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA,SCF-NP,,,,,,,,
ACIDENTE,FARTURA,SP,BRASIL,***,08/02/2009,21:00:00,FINALIZADA,1,SIM,PTRDE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720C,PA32,PISTÃO,MONOMOTOR,1542,1542,7.0,1981.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,LUIZ GONZAGA LUTTI,FORA DE AERODROMO,POUSO,PRIVADA,SUBSTANCIAL,0,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,LOC-G,PLANEJAMENTO GERENCIAL,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,"Divulgar o conteúdo do presente relatório aos seus associados, enfatizando a importância da análise adequada dos aeródromos a serem utilizados e do cumprimento da regulamentação e do cumprimento da regulamentação.",***,APPA,ASSOCIAÇÃO DE PILOTOS E PROPRIETÁRIOS DE AERONAVES
INCIDENTE,CAMPINAS,SP,BRASIL,***,08/02/2010,12:33:00,FINALIZADA,1,NÃO,PTMZU,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,77000,77000,184.0,2001.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,NENHUM,0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,,,,,,,,
INCIDENTE,POÇOS DE CALDAS,MG,BRASIL,SBPC,08/02/2010,13:55:00,,1,NÃO,PTNZO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711ST,P28T,PISTÃO,MONOMOTOR,1315,1315,4.0,1980.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,PRIVADA,NENHUM,0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,,,,,,,,
INCIDENTE,PORTO ALEGRE,RS,BRASIL,SBPA,08/02/2011,20:04:00,FINALIZADA,1,NÃO,PTIHI,AVIÃO,PIPER AIRCRAFT,PA-34-200,PA34,PISTÃO,BIMOTOR,1905,1905,6.0,1972.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,INSTRUÇÃO,LEVE,0,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SCF-NP,,,,,,,,
INCIDENTE,GUARULHOS,SP,BRASIL,SBGR,08/02/2011,17:44:00,FINALIZADA,1,NÃO,PRMHY,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,77000,77000,184.0,2008.0,BRASIL,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,REGULAR,LEVE,0,COLISÃO COM AVE,COLISÃO COM AVE,BIRD,,,,,,,,
ACIDENTE,BELA VISTA DO PARAÍSO,PR,BRASIL,***,08/02/2012,21:35:00,FINALIZADA,1,NÃO,PTUZW,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2011.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,14 BIS,14 BIS,OUTRA FASE,AGRÍCOLA,SUBSTANCIAL,1,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO,CTOL,PLANEJAMENTO DE VOO,DESEMPENHO DO SER HUMANO,OPERAÇÃO DA AERONAVE,FATOR OPERACIONAL,,,,
ACIDENTE,SONORA,MS,BRASIL,***,08/02/2012,09:50:00,FINALIZADA,1,NÃO,PTUUJ,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,2007.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,FAZENDA SONORA ESTÂNCIA,FAZENDA SONORA ESTÂNCIA,VOO A BAIXA ALTURA,AGRÍCOLA,SUBSTANCIAL,0,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,SCF-PP,MANUTENÇÃO DA AERONAVE,DESEMPENHO DO SER HUMANO,MANUTENÇÃO DA AERONAVE,FATOR OPERACIONAL,,,,
ACIDENTE,BELÉM,PA,BRASIL,***,08/02/2012,01:44:00,FINALIZADA,1,NÃO,PTOFD,AVIÃO,BEECH AIRCRAFT,F90,BE9T,TURBOÉLICE,BIMOTOR,4967,4967,8.0,1981.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,CONGONHAS,VAL DE CANS / JÚLIO CEZAR RIBEIRO,APROXIMAÇÃO FINAL,PRIVADA,SUBSTANCIAL,0,PANE SECA,COMBUSTÍVEL | PANE SECA,FUEL,PROCESSO DECISÓRIO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO,"Divulgar o conteúdo do presente relatório durante a realização de seminários, palestras e atividades afins voltadas aos proprietários, operadores e exploradores de aeronaves.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
INCIDENTE,MACAÉ,RJ,BRASIL,***,08/02/2013,18:30:00,FINALIZADA,1,NÃO,PRLCD,HELICÓPTERO,SIKORSKY AIRCRAFT,S-76C,S76,TURBOEIXO,BIMOTOR,5307,5307,14.0,2003.0,BRASIL,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,TÁXI AÉREO,LEVE,0,OUTROS,OUTROS,OTHR,,,,,,,,
ACIDENTE,CERES,GO,BRASIL,SWCZ,08/02/2013,19:15:00,FINALIZADA,1,NÃO,PRCEO,AVIÃO,CIRRUS DESIGN,SR22,SR22,PISTÃO,MONOMOTOR,1542,1542,4.0,2006.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,GENERAL LEITE DE CASTRO,PORANGATU,POUSO,PRIVADA,SUBSTANCIAL,0,POUSO ANTES DA PISTA,POUSO AQUÉM/ALÉM DA PISTA | POUSO ANTES DA PISTA,USOS,PROCESSO DECISÓRIO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO,,,,
INCIDENTE,BELO HORIZONTE,MG,BRASIL,SBBH,08/02/2015,12:00:00,FINALIZADA,1,NÃO,PPARG,AVIÃO,HAWKER BEECHCRAFT,HAWKER 900XP,H25B,JATO,BIMOTOR,12701,12701,11.0,2008.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,CARLOS DRUMMOND DE ANDRADE / PAMPULHA,FAZENDA SANTA MÔNICA,ESTACIONAMENTO,PRIVADA,LEVE,0,COLISÃO DE VEÍCULO COM AERONAVE,OUTROS | COLISÃO DE VEÍCULO COM AERONAVE,OTHR,,,,,,,,
INCIDENTE,CAMPINAS DO PIAUÍ,PI,BRASIL,SBKP,08/02/2015,19:03:00,FINALIZADA,1,NÃO,PRAQL,AVIÃO,AEROSPATIALE AND ALENIA,ATR-72-212A,AT72,TURBOÉLICE,BIMOTOR,23000,23000,75.0,2013.0,BRASIL,BRASIL,AVIÃO,REGULAR,VIRACOPOS,TRÊS LAGOAS,CRUZEIRO,REGULAR,NENHUM,0,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE,SCF-NP,,,,,,,,
INCIDENTE,RIO DE JANEIRO,RJ,BRASIL,SBGL,08/02/2015,19:07:00,FINALIZADA,1,NÃO,PTXPB,AVIÃO,AIRBUS INDUSTRIE,A321-211,A321,JATO,BIMOTOR,89000,89000,,2014.0,BRASIL,BRASIL,AVIÃO,REGULAR,ANTONIO CARLOS JOBIM / GALEÃO,PINTO MARTINS,SUBIDA,REGULAR,SUBSTANCIAL,0,CAUSADO POR FENÔMENO METEOROLÓGICO NO SOLO,OUTROS | CAUSADO POR FENÔMENO METEOROLÓGICO NO SOLO,OTHR,,,,,,,,
INCIDENTE,SÃO PAULO,SP,BRASIL,***,08/02/2016,13:20:00,FINALIZADA,1,NÃO,PPEOX,HELICÓPTERO,HELIBRAS,AS 350 B2,AS50,TURBOEIXO,MONOMOTOR,2250,2250,6.0,1999.0,BRASIL,BRASIL,HELICÓPTERO,ADMINISTRAÇÃO DIRETA,CAMPO DE MARTE - SP,FORA DE AERODROMO,APROXIMAÇÃO FINAL,POLICIAL,LEVE,0,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,LALT,,,,,,,,
INCIDENTE,GUARATUBA,PR,BRASIL,SSGB,08/02/2016,16:00:00,FINALIZADA,2,NÃO,PRFFC,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,757,757,2.0,1979.0,BRASIL,BRASIL,AVIÃO,INSTRUÇÃO,MUNICIPAL DE GUARATUBA,MUNICIPAL DE GUARATUBA,CIRCUITO DE TRÁFEGO,INSTRUÇÃO,NENHUM,0,TRÁFEGO AÉREO,PERDA DE SEPARAÇÃO / COLISÃO EM VOO | TRÁFEGO AÉREO,MAC,,,,,,,,
ACIDENTE,PARANATINGA,MT,BRASIL,***,08/02/2016,19:30:00,FINALIZADA,1,NÃO,PTULK,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1800,1800,1.0,1998.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,AGRÍCOLA,SUBSTANCIAL,1,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,LOC-I,PROCESSOS ORGANIZACIONAIS,ASPECTO PSICOLÓGICO,ORGANIZACIONAL,FATOR HUMANO,"Atuar junto à empresa Pulveriza Aviação Agrícola LTDA. - ME, a fim de verificar o cumprimento do disposto no Manual de Gerenciamento de Segurança Operacional desse operador, sobretudo no que diz respeito aos processos organizacionais e aos métodos de planejamento gerencial.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
ACIDENTE,CARAVELAS,BA,BRASIL,SJNQ,08/02/2017,12:50:00,FINALIZADA,1,SIM,PRORL,AVIÃO,CESSNA AIRCRAFT,210R,C210,PISTÃO,MONOMOTOR,1746,1746,0.0,1986.0,BRASIL,BRASIL,AVIÃO,PARTICULAR,DESTILARIA MEDASA,EURICO DE AGUIAR SALLES,SUBIDA,PRIVADA,SUBSTANCIAL,0,COM TREM DE POUSO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM TREM DE POUSO,SCF-NP,MANUTENÇÃO DA AERONAVE,DESEMPENHO DO SER HUMANO,MANUTENÇÃO DA AERONAVE,FATOR OPERACIONAL,"Realizar uma auditora na Oficina responsável pela manutenção do trem de pouso, a fim de verificar o adequado cumprimento das inspeções em aeronave C-210, em especial no tocante a SID 32-10-01, visando evitar a repetição do erro cometido no tubo PN1280523-1.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
ACIDENTE,ARROIO GRANDE,RS,BRASIL,***,08/02/2018,15:30:00,FINALIZADA,1,NÃO,PTWUL,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1905,1905,1.0,1974.0,BRASIL,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,AGRÍCOLA,SUBSTANCIAL,0,COLISÃO COM OBSTÁCULOS NO SOLO,COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO,GCOL,PROCESSO DECISÓRIO,ASPECTO PSICOLÓGICO,INDIVIDUAL,FATOR HUMANO,"DIVULGAR OS ENSINAMENTOS COLHIDOS NA PRESENTE INVESTIGAçãO, COM A FINALIDADE DE ALERTAR OPERADORES E CENTROS DE INSTRUçãO, QUANTO AOS RISCOS DE COLISãO CONTRA REDES DE TRANSMISSãO E DISTRIBUIçãO DE ENERGIA ELéTRICA DURANTE OPERAçõES AEROAGRíCOLAS.",ADOTADA,ANAC,AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL
INCIDENTE,SÃO JOSÉ DO RIO PRETO,SP,BRASIL,SBSR,08/02/2018,18:00:00,FINALIZADA,1,NÃO,PREAA,ANFÍBIO,MAULE AIRCRAFT,M-7-235B ANFIBIO,M7,PISTÃO,MONOMOTOR,1247,1247,4.0,2003.0,BRASIL,BRASIL,ANFÍBIO,PARTICULAR,PROFESSOR ERIBERTO MANOEL REINO,PROFESSOR ERIBERTO MANOEL REINO,POUSO,PRIVADA,LEVE,0,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA | POUSO SEM TREM,ARC,,,,,,,,
INCIDENTE,SÃO JOSÉ DOS PINHAIS,PR,BRASIL,SBCT,08/02/2019,06:52:00,FINALIZADA,1,NÃO,PRTTO,AVIÃO,BOEING COMPANY,727-2M7,B722,JATO,TRIMOTOR,92124,92124,3.0,1976.0,BRASIL,BRASIL,AVIÃO,REGULAR,GOVERNADOR ANDRÉ FRANCO MONTORO,AFONSO PENA,POUSO,REGULAR,LEVE,0,FALHA DO MOTOR NO SOLO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR NO SOLO,SCF-PP,,,,,,,,
